date,line_id,brand,model_name,inspector_id,defect_type,severity,action,detection_point,inspection_time_seconds,photo_taken
2025-09-24,L3,Nike,Air Max Flyknit Upper,INS_07,boja odstupa,major,rework,final,47,True
2026-01-28,L5,Crocs,Bayaband Slide Upper,INS_03,3D knit greška,minor,pass,inline,52,False
2025-06-10,L8,Decathlon,Quechua Hiking Upper,INS_04,3D knit greška,major,scrap,final,50,True
2025-11-07,L4,Nike,Air Max Flyknit Upper,INS_10,boja odstupa,minor,rework,incoming,58,True
2025-10-16,L2,Nike,ZoomX Carbon Plate Insert,INS_09,ljepilo vidljivo,minor,rework,inline,46,True
2026-01-12,L4,Decathlon,Kiprun Carbon Plate,INS_05,materijal oštećen,major,rework,inline,38,True
2026-01-12,L3,Crocs,Classic Clog Strap Assembly,INS_02,šav neravnomjeran,minor,pass,final,53,True
2025-04-17,L7,Decathlon,Quechua Hiking Upper,INS_12,logo pozicija,minor,pass,inline,53,True
2025-12-25,L3,Nike,Vaporfly Engineered Mesh,INS_09,3D knit greška,minor,pass,incoming,41,False
2025-12-15,L8,Nike,Dunk Low Textile Upper,INS_11,šav neravnomjeran,major,rework,incoming,40,False
2025-07-31,L6,Crocs,Classic Clog Strap Assembly,INS_14,materijal oštećen,major,rework,customer_return,41,True
2025-06-03,L2,Nike,ZoomX Carbon Plate Insert,INS_15,materijal oštećen,major,rework,inline,37,True
2025-04-07,L4,Crocs,Classic Clog Strap Assembly,INS_11,ljepilo vidljivo,minor,pass,inline,50,True
2026-02-26,L7,Decathlon,Quechua Hiking Upper,INS_03,logo pozicija,critical,scrap,inline,44,False
2025-12-15,L4,Decathlon,Kalenji Trail Sole Unit,INS_09,đon delaminacija,major,rework,final,33,True
2026-01-26,L2,Nike,Pegasus 3D Knit Collar,INS_14,ljepilo vidljivo,major,rework,final,34,True
2025-09-15,L8,Nike,Air Max Flyknit Upper,INS_08,3D knit greška,minor,pass,final,52,True
2025-04-22,L6,Decathlon,Kalenji Trail Sole Unit,INS_07,šav neravnomjeran,major,rework,final,53,False
2025-05-15,L2,Nike,Air Max Flyknit Upper,INS_11,materijal oštećen,minor,pass,inline,39,False
2025-05-14,L6,Decathlon,Kalenji Trail Sole Unit,INS_06,ljepilo vidljivo,major,rework,final,47,False
2025-11-28,L2,Nike,ZoomX Carbon Plate Insert,INS_08,dimenzija van tolerancije,critical,scrap,inline,44,False
2025-07-10,L1,Nike,ZoomX Carbon Plate Insert,INS_06,ljepilo vidljivo,major,rework,inline,52,False
2025-12-03,L3,Nike,Vaporfly Engineered Mesh,INS_05,dimenzija van tolerancije,major,scrap,final,31,False
2026-02-17,L3,Nike,Dunk Low Textile Upper,INS_13,logo pozicija,minor,pass,inline,50,False
2025-09-22,L4,Decathlon,Quechua Hiking Upper,INS_04,logo pozicija,minor,rework,inline,59,False
2025-11-26,L2,Nike,ZoomX Carbon Plate Insert,INS_05,šav neravnomjeran,minor,pass,final,52,True
2025-12-15,L4,Decathlon,Kalenji Trail Sole Unit,INS_06,đon delaminacija,major,rework,final,52,True
2025-05-20,L2,Nike,Vaporfly Engineered Mesh,INS_06,3D knit greška,minor,pass,inline,42,True
2025-12-16,L6,Decathlon,Kalenji Trail Sole Unit,INS_05,dimenzija van tolerancije,minor,pass,inline,44,False
2025-06-06,L3,Nike,Pegasus 3D Knit Collar,INS_13,3D knit greška,minor,rework,final,58,True
2026-02-25,L1,Nike,Air Max Flyknit Upper,INS_13,ljepilo vidljivo,minor,pass,inline,43,False
2025-06-03,L3,Nike,Vaporfly Engineered Mesh,INS_03,šav neravnomjeran,minor,pass,final,35,True
2025-06-20,L1,Nike,ZoomX Carbon Plate Insert,INS_15,đon delaminacija,critical,rework,final,25,True
2025-03-27,L6,Decathlon,Kiprun Carbon Plate,INS_01,3D knit greška,minor,rework,final,44,True
2025-11-27,L8,Nike,Pegasus 3D Knit Collar,INS_04,materijal oštećen,major,rework,final,40,True
2025-08-21,L5,Crocs,LiteRide Insole Unit,INS_02,boja odstupa,minor,rework,inline,48,False
2025-09-09,L4,Crocs,LiteRide Insole Unit,INS_03,ljepilo vidljivo,minor,pass,inline,43,True
2025-09-09,L2,Crocs,Bayaband Slide Upper,INS_09,boja odstupa,minor,pass,final,39,False
2025-04-18,L2,Nike,Air Max Flyknit Upper,INS_05,materijal oštećen,critical,rework,inline,33,False
2025-05-08,L5,Crocs,LiteRide Insole Unit,INS_13,đon delaminacija,minor,rework,final,48,True
2025-11-21,L3,Nike,Pegasus 3D Knit Collar,INS_14,boja odstupa,critical,scrap,final,45,False
2025-05-20,L2,Nike,Vaporfly Engineered Mesh,INS_01,ljepilo vidljivo,major,rework,inline,52,False
2025-03-19,L7,Decathlon,Kiprun Carbon Plate,INS_13,šav neravnomjeran,minor,rework,incoming,31,False
2025-11-12,L2,Nike,Pegasus 3D Knit Collar,INS_10,logo pozicija,major,scrap,final,44,True
2025-05-13,L6,Decathlon,Quechua Hiking Upper,INS_02,3D knit greška,minor,scrap,final,56,True
2025-07-25,L5,Crocs,Bayaband Slide Upper,INS_03,logo pozicija,major,rework,final,57,False
2026-01-29,L1,Nike,ZoomX Carbon Plate Insert,INS_05,ljepilo vidljivo,major,scrap,inline,73,True
2025-06-23,L1,Nike,Pegasus 3D Knit Collar,INS_02,šav neravnomjeran,minor,pass,inline,34,True
2025-11-21,L1,Nike,Dunk Low Textile Upper,INS_09,ljepilo vidljivo,critical,scrap,final,54,True
2025-09-16,L3,Nike,Pegasus 3D Knit Collar,INS_05,3D knit greška,major,pass,final,41,False
2025-07-11,L2,Nike,Dunk Low Textile Upper,INS_11,đon delaminacija,critical,scrap,inline,23,True
2025-07-28,L3,Nike,Air Max Flyknit Upper,INS_03,dimenzija van tolerancije,major,rework,final,52,False
2026-02-09,L4,Crocs,LiteRide Insole Unit,INS_06,ljepilo vidljivo,minor,pass,final,23,False
2025-09-30,L7,Crocs,Bayaband Slide Upper,INS_14,boja odstupa,major,rework,inline,67,False
2025-04-23,L1,Nike,Vaporfly Engineered Mesh,INS_06,šav neravnomjeran,minor,rework,inline,54,True
2025-10-08,L1,Nike,Dunk Low Textile Upper,INS_03,materijal oštećen,major,rework,inline,63,True
2025-03-14,L2,Nike,Dunk Low Textile Upper,INS_15,ljepilo vidljivo,minor,pass,final,73,True
2025-03-28,L6,Decathlon,Kalenji Trail Sole Unit,INS_10,materijal oštećen,major,scrap,final,48,False
2025-12-30,L1,Nike,ZoomX Carbon Plate Insert,INS_03,logo pozicija,minor,pass,inline,49,False
2025-04-22,L7,Decathlon,Kalenji Trail Sole Unit,INS_09,materijal oštećen,major,scrap,incoming,48,False
2025-03-20,L2,Nike,ZoomX Carbon Plate Insert,INS_15,ljepilo vidljivo,critical,scrap,final,43,True
2025-06-25,L5,Crocs,LiteRide Insole Unit,INS_13,logo pozicija,major,rework,incoming,49,True
2025-09-10,L7,Decathlon,Kalenji Trail Sole Unit,INS_04,ljepilo vidljivo,minor,rework,inline,62,True
2026-01-01,L4,Crocs,Classic Clog Strap Assembly,INS_09,materijal oštećen,critical,scrap,inline,42,True
2025-07-07,L2,Nike,ZoomX Carbon Plate Insert,INS_09,dimenzija van tolerancije,minor,pass,final,25,True
2025-08-21,L4,Crocs,Classic Clog Strap Assembly,INS_07,šav neravnomjeran,major,scrap,customer_return,58,True
2026-01-08,L4,Crocs,Classic Clog Strap Assembly,INS_10,boja odstupa,minor,pass,final,60,False
2025-04-15,L2,Nike,Vaporfly Engineered Mesh,INS_04,ljepilo vidljivo,major,rework,final,40,True
2026-02-27,L4,Crocs,LiteRide Insole Unit,INS_14,materijal oštećen,major,rework,incoming,50,False
2025-12-24,L2,Nike,Dunk Low Textile Upper,INS_14,ljepilo vidljivo,minor,pass,inline,43,False
2026-01-13,L3,Nike,Dunk Low Textile Upper,INS_03,šav neravnomjeran,major,scrap,inline,38,False
2025-04-21,L7,Decathlon,Kiprun Carbon Plate,INS_10,3D knit greška,minor,pass,inline,42,False
2025-03-06,L6,Decathlon,Quechua Hiking Upper,INS_06,ljepilo vidljivo,major,scrap,inline,41,True
2025-06-16,L1,Nike,Dunk Low Textile Upper,INS_15,dimenzija van tolerancije,critical,scrap,inline,27,True
2025-09-10,L8,Nike,ZoomX Carbon Plate Insert,INS_10,ljepilo vidljivo,minor,pass,final,58,True
2026-01-27,L3,Nike,Pegasus 3D Knit Collar,INS_05,ljepilo vidljivo,minor,pass,final,42,False
2025-03-06,L1,Nike,Vaporfly Engineered Mesh,INS_04,dimenzija van tolerancije,minor,pass,customer_return,54,False
2025-06-02,L6,Decathlon,Kiprun Carbon Plate,INS_05,šav neravnomjeran,minor,pass,final,33,True
2025-09-04,L5,Nike,Pegasus 3D Knit Collar,INS_06,boja odstupa,minor,pass,final,55,False
2025-12-03,L2,Nike,Vaporfly Engineered Mesh,INS_01,materijal oštećen,minor,rework,final,28,False
2025-06-17,L3,Nike,ZoomX Carbon Plate Insert,INS_11,đon delaminacija,major,scrap,final,55,False
2025-09-09,L6,Nike,ZoomX Carbon Plate Insert,INS_01,3D knit greška,major,pass,final,54,True
2025-04-28,L3,Nike,ZoomX Carbon Plate Insert,INS_06,dimenzija van tolerancije,critical,scrap,final,84,True
2025-08-06,L3,Nike,ZoomX Carbon Plate Insert,INS_07,materijal oštećen,major,pass,final,50,False
2025-04-11,L7,Decathlon,Quechua Hiking Upper,INS_03,boja odstupa,critical,scrap,final,44,True
2025-11-21,L3,Nike,Vaporfly Engineered Mesh,INS_14,dimenzija van tolerancije,major,rework,inline,30,False
2025-04-03,L5,Crocs,LiteRide Insole Unit,INS_06,3D knit greška,critical,scrap,incoming,61,False
2025-12-25,L5,Crocs,Bayaband Slide Upper,INS_10,ljepilo vidljivo,minor,pass,inline,54,True
2025-05-27,L3,Nike,Vaporfly Engineered Mesh,INS_01,boja odstupa,major,rework,inline,54,True
2026-01-15,L4,Crocs,Bayaband Slide Upper,INS_08,logo pozicija,major,scrap,final,31,True
2025-03-19,L1,Nike,Dunk Low Textile Upper,INS_15,dimenzija van tolerancije,major,scrap,final,24,False
2025-06-05,L7,Decathlon,Kalenji Trail Sole Unit,INS_14,dimenzija van tolerancije,critical,scrap,final,46,False
2025-04-29,L1,Nike,Vaporfly Engineered Mesh,INS_04,đon delaminacija,critical,scrap,incoming,46,True
2025-04-30,L7,Decathlon,Kiprun Carbon Plate,INS_07,dimenzija van tolerancije,minor,pass,incoming,26,True
2025-03-20,L8,Nike,ZoomX Carbon Plate Insert,INS_15,3D knit greška,minor,pass,inline,49,True
2026-01-26,L5,Crocs,Classic Clog Strap Assembly,INS_04,dimenzija van tolerancije,major,rework,inline,65,False
2025-06-24,L8,Crocs,Classic Clog Strap Assembly,INS_12,materijal oštećen,major,pass,final,61,False
2025-05-23,L3,Crocs,LiteRide Insole Unit,INS_03,šav neravnomjeran,minor,pass,inline,71,False
2025-10-20,L4,Crocs,Bayaband Slide Upper,INS_10,materijal oštećen,major,rework,inline,56,False
2025-05-12,L7,Crocs,Bayaband Slide Upper,INS_02,boja odstupa,major,scrap,final,24,True
2025-04-14,L7,Decathlon,Kiprun Carbon Plate,INS_10,šav neravnomjeran,major,rework,final,48,True
2025-05-26,L8,Crocs,LiteRide Insole Unit,INS_09,šav neravnomjeran,minor,pass,final,18,True
2025-10-16,L7,Crocs,LiteRide Insole Unit,INS_06,šav neravnomjeran,critical,scrap,final,37,True
2025-08-22,L5,Crocs,LiteRide Insole Unit,INS_12,đon delaminacija,major,pass,final,52,False
2025-09-26,L2,Nike,Vaporfly Engineered Mesh,INS_03,logo pozicija,minor,pass,final,43,True
2025-05-07,L8,Nike,Air Max Flyknit Upper,INS_11,đon delaminacija,critical,scrap,inline,55,False
2025-09-10,L3,Nike,ZoomX Carbon Plate Insert,INS_15,3D knit greška,major,rework,final,54,False
2025-08-15,L8,Nike,Vaporfly Engineered Mesh,INS_11,šav neravnomjeran,major,scrap,final,39,False
2025-08-04,L3,Nike,Vaporfly Engineered Mesh,INS_05,ljepilo vidljivo,major,scrap,inline,67,True
2025-03-28,L1,Nike,Dunk Low Textile Upper,INS_08,boja odstupa,minor,pass,final,50,False
2025-09-04,L1,Nike,Air Max Flyknit Upper,INS_05,boja odstupa,major,scrap,final,45,True
2025-09-03,L1,Nike,ZoomX Carbon Plate Insert,INS_03,boja odstupa,minor,rework,final,52,True
2026-01-14,L8,Nike,Dunk Low Textile Upper,INS_04,boja odstupa,major,rework,inline,43,True
2026-02-26,L2,Nike,Air Max Flyknit Upper,INS_02,ljepilo vidljivo,minor,pass,final,47,False
2025-09-04,L6,Crocs,Bayaband Slide Upper,INS_02,materijal oštećen,critical,scrap,inline,33,True
2026-02-10,L7,Decathlon,Kalenji Trail Sole Unit,INS_07,boja odstupa,minor,pass,final,47,True
2025-04-03,L5,Decathlon,Kalenji Trail Sole Unit,INS_07,boja odstupa,major,pass,final,43,False
2025-04-30,L6,Decathlon,Kiprun Carbon Plate,INS_08,logo pozicija,critical,scrap,final,52,False
2025-04-23,L5,Crocs,LiteRide Insole Unit,INS_05,ljepilo vidljivo,minor,pass,incoming,37,True
2025-08-20,L3,Nike,Dunk Low Textile Upper,INS_10,šav neravnomjeran,minor,pass,inline,65,False
2025-08-08,L6,Decathlon,Kiprun Carbon Plate,INS_03,3D knit greška,major,scrap,inline,12,True
2025-10-28,L1,Nike,ZoomX Carbon Plate Insert,INS_09,ljepilo vidljivo,minor,rework,inline,69,True
2025-05-08,L7,Decathlon,Kiprun Carbon Plate,INS_10,materijal oštećen,minor,pass,inline,35,True
2025-08-12,L4,Crocs,LiteRide Insole Unit,INS_01,boja odstupa,major,scrap,customer_return,41,True
2025-04-17,L8,Nike,Pegasus 3D Knit Collar,INS_11,boja odstupa,major,pass,final,32,False
2025-08-22,L6,Decathlon,Kiprun Carbon Plate,INS_04,3D knit greška,major,scrap,final,47,True
2025-10-27,L4,Nike,Vaporfly Engineered Mesh,INS_06,ljepilo vidljivo,major,scrap,final,31,False
2025-10-16,L4,Decathlon,Kalenji Trail Sole Unit,INS_08,materijal oštećen,major,pass,final,64,True
2025-05-13,L5,Crocs,LiteRide Insole Unit,INS_15,đon delaminacija,major,rework,inline,40,True
2025-10-10,L5,Crocs,Classic Clog Strap Assembly,INS_01,boja odstupa,minor,pass,inline,51,True
2025-05-27,L8,Nike,Vaporfly Engineered Mesh,INS_06,đon delaminacija,critical,scrap,final,47,False
2025-11-18,L1,Nike,Air Max Flyknit Upper,INS_05,3D knit greška,minor,pass,final,48,True
2025-12-09,L6,Decathlon,Kiprun Carbon Plate,INS_15,šav neravnomjeran,minor,pass,inline,37,True
2025-03-10,L7,Crocs,Classic Clog Strap Assembly,INS_04,ljepilo vidljivo,major,rework,final,32,True
2025-05-22,L4,Crocs,Bayaband Slide Upper,INS_02,šav neravnomjeran,minor,pass,inline,46,True
2025-03-20,L1,Nike,Pegasus 3D Knit Collar,INS_01,logo pozicija,minor,scrap,final,42,True
2025-05-20,L2,Nike,Vaporfly Engineered Mesh,INS_15,materijal oštećen,major,rework,inline,24,False
2025-09-10,L4,Crocs,LiteRide Insole Unit,INS_05,ljepilo vidljivo,minor,pass,final,49,False
2025-11-04,L3,Decathlon,Kalenji Trail Sole Unit,INS_14,boja odstupa,major,rework,final,56,True
2025-05-06,L1,Nike,Air Max Flyknit Upper,INS_12,dimenzija van tolerancije,major,scrap,inline,36,False
2025-08-20,L1,Nike,Air Max Flyknit Upper,INS_14,boja odstupa,major,rework,final,24,True
2025-06-30,L4,Crocs,Bayaband Slide Upper,INS_15,boja odstupa,major,rework,customer_return,58,False
2025-05-02,L4,Crocs,Classic Clog Strap Assembly,INS_14,boja odstupa,major,scrap,final,49,True
2025-12-29,L8,Nike,Dunk Low Textile Upper,INS_12,ljepilo vidljivo,major,rework,final,49,True
2026-01-28,L8,Nike,Pegasus 3D Knit Collar,INS_07,logo pozicija,minor,rework,inline,46,False
2025-12-08,L1,Nike,Vaporfly Engineered Mesh,INS_15,ljepilo vidljivo,minor,pass,final,51,True
2025-05-06,L1,Nike,Pegasus 3D Knit Collar,INS_06,logo pozicija,minor,rework,final,24,False
2025-07-16,L3,Nike,Air Max Flyknit Upper,INS_09,šav neravnomjeran,critical,scrap,inline,49,True
2026-02-24,L6,Crocs,LiteRide Insole Unit,INS_10,boja odstupa,major,pass,customer_return,43,True
2025-12-18,L8,Crocs,Bayaband Slide Upper,INS_06,boja odstupa,minor,pass,inline,45,True
2025-10-30,L5,Crocs,Classic Clog Strap Assembly,INS_07,ljepilo vidljivo,minor,pass,inline,69,False
2025-11-07,L6,Decathlon,Kiprun Carbon Plate,INS_06,šav neravnomjeran,minor,pass,inline,37,False
2026-01-22,L8,Decathlon,Kalenji Trail Sole Unit,INS_02,boja odstupa,major,rework,final,53,True
2025-11-07,L8,Crocs,Classic Clog Strap Assembly,INS_02,materijal oštećen,major,rework,inline,22,True
2025-04-11,L1,Nike,Air Max Flyknit Upper,INS_10,dimenzija van tolerancije,minor,pass,final,39,True
2025-07-02,L4,Crocs,Bayaband Slide Upper,INS_05,ljepilo vidljivo,minor,pass,final,64,True
2025-10-13,L1,Nike,ZoomX Carbon Plate Insert,INS_09,boja odstupa,major,rework,customer_return,39,True
2025-05-19,L2,Nike,Pegasus 3D Knit Collar,INS_08,šav neravnomjeran,major,scrap,incoming,51,False
2025-10-27,L6,Crocs,Classic Clog Strap Assembly,INS_13,boja odstupa,minor,pass,inline,43,False
2025-06-30,L5,Crocs,Bayaband Slide Upper,INS_12,đon delaminacija,critical,rework,final,26,False
2025-05-26,L7,Decathlon,Kiprun Carbon Plate,INS_09,3D knit greška,major,rework,final,44,True
2025-10-20,L7,Decathlon,Quechua Hiking Upper,INS_01,đon delaminacija,critical,scrap,final,42,True
2025-03-26,L7,Decathlon,Quechua Hiking Upper,INS_04,logo pozicija,major,pass,final,40,True
2025-04-04,L1,Nike,ZoomX Carbon Plate Insert,INS_09,3D knit greška,major,scrap,final,27,True
2025-06-30,L3,Crocs,Bayaband Slide Upper,INS_10,materijal oštećen,minor,pass,inline,19,True
2025-10-27,L8,Crocs,Classic Clog Strap Assembly,INS_13,3D knit greška,critical,scrap,incoming,54,True
2025-11-26,L4,Decathlon,Quechua Hiking Upper,INS_08,đon delaminacija,minor,scrap,final,47,True
2025-11-14,L3,Nike,Air Max Flyknit Upper,INS_12,đon delaminacija,critical,scrap,final,53,True
2025-11-04,L4,Decathlon,Kalenji Trail Sole Unit,INS_14,logo pozicija,minor,pass,incoming,32,True
2025-04-10,L3,Nike,ZoomX Carbon Plate Insert,INS_03,ljepilo vidljivo,major,scrap,inline,25,True
2025-06-20,L1,Nike,ZoomX Carbon Plate Insert,INS_14,boja odstupa,major,rework,final,51,True
2026-02-03,L3,Nike,Vaporfly Engineered Mesh,INS_14,materijal oštećen,minor,pass,inline,47,False
2025-05-01,L2,Nike,Vaporfly Engineered Mesh,INS_06,materijal oštećen,major,rework,final,54,False
2025-12-15,L1,Nike,ZoomX Carbon Plate Insert,INS_03,ljepilo vidljivo,minor,rework,final,45,True
2025-04-28,L2,Nike,ZoomX Carbon Plate Insert,INS_12,šav neravnomjeran,minor,pass,final,68,False
2025-06-09,L3,Nike,Pegasus 3D Knit Collar,INS_05,materijal oštećen,major,scrap,final,35,False
2025-11-21,L3,Nike,ZoomX Carbon Plate Insert,INS_04,ljepilo vidljivo,major,scrap,inline,39,False
2026-01-02,L3,Nike,Pegasus 3D Knit Collar,INS_11,3D knit greška,critical,scrap,final,35,True
2026-02-19,L8,Nike,Dunk Low Textile Upper,INS_02,logo pozicija,major,rework,inline,71,True
2025-04-01,L3,Nike,Vaporfly Engineered Mesh,INS_15,šav neravnomjeran,major,scrap,final,35,False
2025-04-04,L7,Nike,Air Max Flyknit Upper,INS_07,materijal oštećen,critical,scrap,final,48,True
2025-10-06,L7,Decathlon,Kalenji Trail Sole Unit,INS_03,šav neravnomjeran,minor,pass,inline,27,True
2025-08-11,L8,Nike,Vaporfly Engineered Mesh,INS_08,dimenzija van tolerancije,major,rework,inline,37,False
2025-09-30,L6,Decathlon,Kiprun Carbon Plate,INS_08,đon delaminacija,critical,scrap,final,49,False
2025-09-01,L5,Crocs,Bayaband Slide Upper,INS_11,šav neravnomjeran,major,pass,customer_return,38,True
2025-03-05,L1,Nike,Dunk Low Textile Upper,INS_08,ljepilo vidljivo,major,pass,inline,48,True
2025-12-02,L4,Crocs,Bayaband Slide Upper,INS_15,3D knit greška,major,scrap,inline,38,True
2025-05-14,L6,Decathlon,Kalenji Trail Sole Unit,INS_03,ljepilo vidljivo,minor,pass,final,44,True
2025-04-04,L7,Nike,Air Max Flyknit Upper,INS_05,materijal oštećen,major,pass,final,27,False
2026-01-14,L5,Nike,Air Max Flyknit Upper,INS_13,đon delaminacija,critical,scrap,inline,20,False
2025-09-03,L6,Crocs,LiteRide Insole Unit,INS_14,dimenzija van tolerancije,major,scrap,final,49,True
2025-11-24,L1,Nike,Vaporfly Engineered Mesh,INS_05,ljepilo vidljivo,minor,scrap,final,32,False
2025-03-11,L4,Nike,ZoomX Carbon Plate Insert,INS_11,boja odstupa,minor,pass,inline,43,True
2025-09-01,L2,Nike,Dunk Low Textile Upper,INS_02,đon delaminacija,critical,scrap,incoming,36,True
2025-05-07,L2,Nike,ZoomX Carbon Plate Insert,INS_08,logo pozicija,major,rework,inline,40,True
2025-10-16,L2,Nike,ZoomX Carbon Plate Insert,INS_02,ljepilo vidljivo,minor,pass,final,47,False
2025-10-17,L4,Nike,Vaporfly Engineered Mesh,INS_02,šav neravnomjeran,major,scrap,final,42,True
2025-09-10,L4,Crocs,LiteRide Insole Unit,INS_01,dimenzija van tolerancije,major,rework,inline,45,True
2025-03-26,L6,Decathlon,Kalenji Trail Sole Unit,INS_07,đon delaminacija,minor,rework,final,40,True
2025-11-04,L8,Nike,Vaporfly Engineered Mesh,INS_10,boja odstupa,minor,pass,final,48,True
2025-12-15,L3,Nike,ZoomX Carbon Plate Insert,INS_12,ljepilo vidljivo,minor,pass,inline,34,True
2025-06-20,L6,Decathlon,Quechua Hiking Upper,INS_05,đon delaminacija,minor,rework,final,48,True
2025-11-19,L2,Nike,Air Max Flyknit Upper,INS_08,boja odstupa,major,scrap,final,58,True
2025-04-28,L4,Crocs,Classic Clog Strap Assembly,INS_03,dimenzija van tolerancije,minor,pass,final,34,True
2026-02-05,L3,Nike,Dunk Low Textile Upper,INS_02,šav neravnomjeran,minor,pass,final,29,True
2025-05-22,L6,Crocs,Classic Clog Strap Assembly,INS_08,šav neravnomjeran,minor,pass,final,49,True
2025-06-05,L4,Nike,Dunk Low Textile Upper,INS_12,boja odstupa,critical,scrap,final,42,True
2025-05-09,L2,Nike,Dunk Low Textile Upper,INS_02,dimenzija van tolerancije,critical,scrap,final,40,False
2026-02-18,L3,Nike,ZoomX Carbon Plate Insert,INS_13,materijal oštećen,critical,scrap,inline,41,True
2025-10-06,L8,Crocs,Classic Clog Strap Assembly,INS_06,materijal oštećen,major,pass,final,44,False
2026-01-08,L2,Nike,Air Max Flyknit Upper,INS_14,3D knit greška,minor,pass,final,44,True
2026-01-14,L5,Nike,Air Max Flyknit Upper,INS_11,šav neravnomjeran,major,rework,final,42,True
2025-09-29,L5,Crocs,LiteRide Insole Unit,INS_14,materijal oštećen,major,rework,final,41,False
2025-08-04,L8,Crocs,Classic Clog Strap Assembly,INS_11,logo pozicija,minor,rework,inline,42,True
2025-06-03,L7,Decathlon,Kiprun Carbon Plate,INS_09,šav neravnomjeran,minor,rework,final,32,True
2026-01-15,L5,Decathlon,Kalenji Trail Sole Unit,INS_15,3D knit greška,major,rework,final,32,False
2025-09-24,L4,Crocs,Bayaband Slide Upper,INS_14,šav neravnomjeran,minor,rework,final,74,True
