po_number,date,supplier,material_id,qty_ordered,qty_received,unit_price,total_eur,expected_delivery,actual_delivery,delay_days,quality_score
PO-00111,2025-03-14,Gomma Padana,MAT_0113,1415,1415,12.12,17146.38,2025-03-29,2025-03-29,0,3
PO-01693,2025-03-14,Coats Group,MAT_0245,1707,1707,4.99,8521.14,2025-03-29,2025-03-29,0,5
PO-00661,2025-03-14,Toray Composite,MAT_0390,65,65,47.23,3069.78,2025-05-07,2025-05-07,0,3
PO-00359,2025-03-14,Toray Industries,MAT_0267,1021,1021,19.01,19412.49,2025-04-28,2025-04-29,1,2
PO-00137,2025-03-14,Toray Industries,MAT_0129,857,857,15.89,13617.79,2025-04-22,2025-04-22,0,3
PO-00355,2025-03-14,Zecchetto Accessori,MAT_0228,715,715,0.8,572.34,2025-03-24,2025-03-24,0,5
PO-00420,2025-03-15,Global Trim,MAT_0346,6567,6567,0.12,790.78,2025-04-22,2025-04-25,3,4
PO-00254,2025-03-15,Zecchetto Accessori,MAT_0339,2431,2431,0.87,2112.1,2025-03-24,2025-03-24,0,4
PO-00005,2025-03-15,Karteks Banja Luka,MAT_0451,4153,4153,0.86,3560.28,2025-03-18,2025-03-18,0,4
PO-00184,2025-03-16,Crocs Inc (supplied),MAT_0211,1002,1002,8.32,8337.84,2025-04-19,2025-04-19,0,4
PO-00006,2025-03-16,Foam Italia,MAT_0280,1212,1212,5.89,7133.07,2025-03-27,2025-03-27,0,4
PO-00907,2025-03-16,Henkel AG,MAT_0013,257,257,15.79,4058.6,2025-03-25,2025-03-31,6,4
PO-00954,2025-03-16,Crocs Inc (supplied),MAT_0318,502,502,7.2,3613.77,2025-04-19,2025-04-19,0,5
PO-01760,2025-03-16,Crocs Inc (supplied),MAT_0211,471,471,8.63,4062.83,2025-04-19,2025-04-19,0,5
PO-01431,2025-03-16,Global Trim,MAT_0422,4255,4255,0.11,476.36,2025-04-27,2025-04-27,0,4
PO-01258,2025-03-16,Texon International,MAT_0446,2139,1760,2.81,4953.75,2025-03-28,2025-03-28,0,4
PO-00069,2025-03-16,Shenzhen Minghui,MAT_0406,27395,27395,0.03,831.71,2025-04-23,2025-04-23,0,1
PO-01016,2025-03-17,Texon International,MAT_0293,898,898,3.02,2715.18,2025-04-07,2025-04-07,0,5
PO-00454,2025-03-17,Texon International,MAT_0132,834,834,3.85,3207.56,2025-04-06,2025-04-06,0,4
PO-01206,2025-03-17,Toray Industries,MAT_0082,869,869,20.72,18005.85,2025-04-26,2025-04-26,0,3
PO-00578,2025-03-17,Texon International,MAT_0138,698,698,2.56,1784.79,2025-04-04,2025-04-05,1,5
PO-01770,2025-03-17,Gomma Padana,MAT_0194,1664,1664,12.61,20981.45,2025-03-30,2025-03-30,0,1
PO-01165,2025-03-17,Zhejiang Paper,MAT_0387,6066,6066,0.08,489.32,2025-04-17,2025-04-17,0,1
PO-00925,2025-03-17,Coats Group,MAT_0485,573,573,6.3,3608.18,2025-04-06,2025-04-19,13,5
PO-00808,2025-03-18,Coats Group,MAT_0195,1259,1259,5.94,7484.54,2025-04-04,2025-04-08,4,4
PO-01723,2025-03-18,Crocs Inc (supplied),MAT_0063,992,669,9.25,6185.92,2025-04-23,2025-04-23,0,3
PO-01092,2025-03-18,Covestro AG,MAT_0464,259,259,7.88,2039.89,2025-03-25,2025-03-28,3,4
PO-01461,2025-03-18,Zecchetto Accessori,MAT_0141,1108,1108,0.78,865.69,2025-03-27,2025-03-27,0,5
PO-01156,2025-03-19,NXP Semiconductors,MAT_0491,6161,6161,0.44,2697.09,2025-04-03,2025-04-03,0,2
PO-00213,2025-03-19,Zecchetto Accessori,MAT_0142,1818,1818,0.77,1399.05,2025-04-03,2025-04-03,0,5
PO-00048,2025-03-19,American & Efird,MAT_0333,336,260,7.16,1861.53,2025-04-18,2025-04-18,0,5
PO-00508,2025-03-19,Covestro AG,MAT_0381,736,736,9.13,6719.73,2025-03-31,2025-04-03,3,3
PO-00604,2025-03-19,Gomma Padana,MAT_0210,694,694,15.57,10807.78,2025-03-27,2025-03-30,3,4
PO-01867,2025-03-19,Karteks Banja Luka,MAT_0080,1697,1697,0.52,884.47,2025-03-23,2025-04-06,14,1
PO-00121,2025-03-20,Gomma Padana,MAT_0460,845,845,12.82,10834.3,2025-04-07,2025-04-07,0,3
PO-01698,2025-03-20,Toray Composite,MAT_0059,523,523,45.49,23789.75,2025-05-10,2025-05-10,0,3
PO-01477,2025-03-20,Henkel AG,MAT_0470,229,229,16.39,3752.54,2025-03-29,2025-03-29,0,4
PO-01235,2025-03-20,Global Trim,MAT_0112,9785,6939,0.14,986.81,2025-04-25,2025-04-25,0,4
PO-00566,2025-03-20,Toray Composite,MAT_0180,349,349,54.25,18932.11,2025-04-27,2025-04-27,0,5
PO-01311,2025-03-20,Covestro AG,MAT_0419,145,145,7.87,1141.75,2025-03-27,2025-03-27,0,3
PO-00573,2025-03-21,NXP Semiconductors,MAT_0255,7026,7026,0.42,2951.91,2025-03-30,2025-03-30,0,4
PO-00821,2025-03-21,Coats Group,MAT_0022,544,544,6.03,3280.39,2025-04-04,2025-04-10,6,3
PO-01428,2025-03-21,Foam Italia,MAT_0105,1144,1144,3.91,4468.04,2025-03-31,2025-03-31,0,4
PO-00183,2025-03-21,Covestro AG,MAT_0300,276,276,8.13,2244.09,2025-03-31,2025-04-01,1,4
PO-01499,2025-03-21,Toray Industries,MAT_0114,1051,1051,19.8,20810.22,2025-05-09,2025-05-09,0,3
PO-01838,2025-03-21,Texon International,MAT_0354,537,537,3.46,1859.79,2025-04-06,2025-04-06,0,4
PO-01674,2025-03-22,Global Trim,MAT_0466,6660,6660,0.11,715.9,2025-05-06,2025-05-06,0,5
PO-01197,2025-03-22,Texon International,MAT_0212,942,942,3.43,3234.56,2025-04-08,2025-04-08,0,4
PO-00197,2025-03-23,Texon International,MAT_0069,1579,1579,3.78,5975.64,2025-04-13,2025-04-14,1,5
PO-01118,2025-03-23,NXP Semiconductors,MAT_0073,3603,3603,0.45,1636.47,2025-04-06,2025-04-11,5,5
PO-00799,2025-03-24,Coats Group,MAT_0058,1261,1261,5.07,6393.91,2025-04-05,2025-04-05,0,2
PO-00139,2025-03-24,Henkel AG,MAT_0137,210,210,21.64,4545.34,2025-04-07,2025-04-07,0,4
PO-01571,2025-03-24,Crocs Inc (supplied),MAT_0048,439,276,9.15,2525.33,2025-04-24,2025-04-24,0,4
PO-00902,2025-03-24,Toray Composite,MAT_0389,42,42,39.27,1649.36,2025-05-05,2025-05-07,2,4
PO-01102,2025-03-25,Coats Group,MAT_0125,1750,1306,5.34,6972.22,2025-04-08,2025-04-13,5,3
PO-00333,2025-03-25,Foam Italia,MAT_0299,2723,2723,4.86,13242.27,2025-04-12,2025-04-18,6,2
PO-01788,2025-03-25,Shenzhen Minghui,MAT_0284,28995,28995,0.03,859.55,2025-05-03,2025-05-03,0,4
PO-00077,2025-03-25,NXP Semiconductors,MAT_0282,4108,2491,0.42,1040.6,2025-04-04,2025-04-04,0,4
PO-01527,2025-03-25,Zecchetto Accessori,MAT_0120,1245,1245,0.79,977.51,2025-04-12,2025-04-12,0,4
PO-00826,2025-03-25,Foam Italia,MAT_0240,1671,1671,3.71,6203.02,2025-04-08,2025-04-09,1,2
PO-00770,2025-03-26,Zhejiang Paper,MAT_0172,6839,6839,0.09,601.72,2025-04-26,2025-04-26,0,5
PO-01229,2025-03-26,Covestro AG,MAT_0166,393,393,9.23,3629.27,2025-04-03,2025-04-03,0,5
PO-00225,2025-03-26,Gomma Padana,MAT_0169,877,877,12.18,10681.52,2025-04-02,2025-04-02,0,5
PO-00265,2025-03-26,Zhejiang Paper,MAT_0494,5629,5629,0.08,453.42,2025-04-30,2025-04-30,0,1
PO-00205,2025-03-27,Covestro AG,MAT_0413,311,311,10.97,3412.94,2025-04-05,2025-04-05,0,4
PO-01756,2025-03-27,Zhejiang Paper,MAT_0387,6670,6670,0.08,528.0,2025-04-27,2025-04-28,1,5
PO-00452,2025-03-27,Coats Group,MAT_0058,1063,1063,5.19,5514.18,2025-04-08,2025-04-08,0,4
PO-01795,2025-03-27,Toray Industries,MAT_0077,430,289,18.93,5469.34,2025-05-10,2025-05-10,0,5
PO-00320,2025-03-27,Global Trim,MAT_0315,3118,2414,0.14,341.11,2025-04-29,2025-04-29,0,5
PO-00114,2025-03-27,Zecchetto Accessori,MAT_0483,2351,2351,1.03,2431.09,2025-04-03,2025-04-03,0,3
PO-01122,2025-03-28,American & Efird,MAT_0290,541,541,5.81,3142.49,2025-04-29,2025-04-29,0,2
PO-00792,2025-03-28,Texon International,MAT_0127,666,666,3.03,2016.46,2025-04-08,2025-04-08,0,5
PO-01274,2025-03-28,Toray Industries,MAT_0106,372,372,16.49,6133.56,2025-05-11,2025-05-16,5,4
PO-01341,2025-03-29,Foam Italia,MAT_0039,2060,2060,5.89,12127.84,2025-04-09,2025-04-09,0,5
PO-01333,2025-03-29,Texon International,MAT_0449,1577,1577,4.04,6376.75,2025-04-19,2025-04-19,0,5
PO-01027,2025-03-29,Zecchetto Accessori,MAT_0056,2620,2620,0.98,2575.65,2025-04-06,2025-04-06,0,5
PO-00950,2025-03-29,Gomma Padana,MAT_0231,460,460,12.22,5620.8,2025-04-08,2025-04-08,0,5
PO-01568,2025-03-30,Global Trim,MAT_0422,5784,5784,0.11,625.47,2025-05-11,2025-05-11,0,3
PO-01061,2025-03-30,Zecchetto Accessori,MAT_0254,2485,2485,0.99,2452.35,2025-04-11,2025-04-11,0,4
PO-01930,2025-03-30,Covestro AG,MAT_0191,274,274,10.34,2833.63,2025-04-14,2025-04-14,0,4
PO-00969,2025-03-31,Henkel AG,MAT_0432,287,287,13.85,3974.05,2025-04-08,2025-04-09,1,3
PO-01612,2025-03-31,American & Efird,MAT_0396,1121,1121,7.73,8665.44,2025-04-27,2025-04-27,0,5
PO-00125,2025-03-31,Coats Group,MAT_0038,927,927,5.1,4728.32,2025-04-21,2025-04-21,0,5
PO-01961,2025-03-31,Global Trim,MAT_0467,11292,11292,0.11,1222.78,2025-05-04,2025-05-04,0,4
PO-01879,2025-04-01,Global Trim,MAT_0041,6125,6125,0.14,866.11,2025-05-07,2025-05-07,0,3
PO-00926,2025-04-01,American & Efird,MAT_0021,985,985,6.86,6756.92,2025-05-11,2025-05-11,0,2
PO-01807,2025-04-01,Texon International,MAT_0249,1155,1155,3.54,4088.4,2025-04-16,2025-04-18,2,5
PO-01913,2025-04-01,Karteks Banja Luka,MAT_0451,3062,3062,0.84,2580.43,2025-04-04,2025-04-04,0,3
PO-01713,2025-04-01,Covestro AG,MAT_0487,1228,1228,10.7,13138.57,2025-04-16,2025-04-16,0,4
PO-00361,2025-04-01,Far Eastern Textile,MAT_0230,1863,1863,3.95,7355.04,2025-05-12,2025-05-12,0,4
PO-00609,2025-04-01,Zhejiang Paper,MAT_0387,2730,2730,0.08,212.03,2025-05-02,2025-05-06,4,5
PO-01574,2025-04-01,Zecchetto Accessori,MAT_0425,697,697,0.93,645.54,2025-04-11,2025-04-11,0,5
PO-01858,2025-04-01,Gomma Padana,MAT_0196,1577,1577,13.01,20517.85,2025-04-17,2025-04-17,0,2
PO-00231,2025-04-01,Coats Group,MAT_0195,1751,1751,5.79,10139.53,2025-04-18,2025-04-24,6,5
PO-00153,2025-04-01,Zhejiang Paper,MAT_0430,7807,7807,0.09,682.53,2025-05-07,2025-05-07,0,4
PO-01884,2025-04-02,Shenzhen Minghui,MAT_0257,11311,11311,0.04,444.17,2025-05-09,2025-05-09,0,5
PO-00718,2025-04-02,Henkel AG,MAT_0330,237,186,14.78,2749.11,2025-04-15,2025-04-16,1,5
PO-00675,2025-04-02,Coats Group,MAT_0058,1286,1286,4.99,6416.85,2025-04-14,2025-04-14,0,3
PO-01594,2025-04-03,Global Trim,MAT_0346,3066,3066,0.12,368.59,2025-05-11,2025-05-12,1,5
PO-01508,2025-04-03,Foam Italia,MAT_0150,513,513,4.53,2322.63,2025-04-11,2025-04-11,0,4
PO-01757,2025-04-03,Toray Industries,MAT_0495,1021,1021,16.07,16406.62,2025-05-25,2025-05-25,0,5
PO-01463,2025-04-03,NXP Semiconductors,MAT_0344,2789,2789,0.5,1395.85,2025-04-13,2025-04-13,0,5
PO-01563,2025-04-03,Gomma Padana,MAT_0265,950,950,14.32,13603.15,2025-04-12,2025-04-12,0,4
PO-01093,2025-04-03,Far Eastern Textile,MAT_0377,771,695,2.69,1872.84,2025-05-09,2025-05-09,0,5
PO-00886,2025-04-03,Toray Composite,MAT_0059,449,449,45.38,20373.42,2025-05-24,2025-05-28,4,4
PO-00920,2025-04-04,American & Efird,MAT_0366,659,659,7.2,4744.01,2025-05-13,2025-05-13,0,4
PO-01502,2025-04-04,American & Efird,MAT_0229,777,777,7.0,5441.48,2025-05-05,2025-05-05,0,4
PO-00901,2025-04-04,Toray Industries,MAT_0357,711,711,17.45,12408.81,2025-05-16,2025-05-16,0,5
PO-01303,2025-04-04,Gomma Padana,MAT_0113,540,540,12.11,6541.43,2025-04-19,2025-04-23,4,4
PO-00584,2025-04-04,Toray Industries,MAT_0213,858,858,17.03,14613.42,2025-05-10,2025-05-19,9,5
PO-01667,2025-04-04,Toray Composite,MAT_0059,156,156,46.55,7261.06,2025-05-25,2025-05-26,1,5
PO-01645,2025-04-04,Henkel AG,MAT_0152,279,279,15.45,4309.48,2025-04-16,2025-04-16,0,5
PO-00050,2025-04-05,Foam Italia,MAT_0005,1585,1585,5.28,8371.91,2025-04-13,2025-04-13,0,4
PO-01334,2025-04-05,Covestro AG,MAT_0487,536,536,10.82,5799.74,2025-04-20,2025-04-20,0,5
PO-00814,2025-04-05,Crocs Inc (supplied),MAT_0048,483,483,9.7,4686.02,2025-05-06,2025-05-06,0,3
PO-01085,2025-04-05,Global Trim,MAT_0046,5803,5803,0.1,588.9,2025-05-09,2025-05-14,5,2
PO-01422,2025-04-06,Coats Group,MAT_0195,1719,1719,5.82,9996.33,2025-04-23,2025-04-24,1,5
PO-00725,2025-04-06,Gomma Padana,MAT_0010,1579,1579,12.1,19110.16,2025-04-18,2025-04-18,0,5
PO-01743,2025-04-06,Toray Composite,MAT_0059,358,358,47.2,16897.36,2025-05-27,2025-05-27,0,1
PO-00726,2025-04-06,Texon International,MAT_0449,2453,2453,4.11,10085.14,2025-04-27,2025-04-29,2,5
PO-00803,2025-04-06,Henkel AG,MAT_0321,724,724,23.8,17234.41,2025-04-17,2025-04-17,0,4
PO-01830,2025-04-06,Far Eastern Textile,MAT_0065,1755,1755,3.31,5817.12,2025-05-18,2025-05-18,0,5
PO-01450,2025-04-06,Zhejiang Paper,MAT_0370,8736,8736,0.07,593.85,2025-05-06,2025-05-06,0,5
PO-01709,2025-04-06,American & Efird,MAT_0021,358,358,6.64,2377.3,2025-05-16,2025-05-16,0,5
PO-01139,2025-04-06,Shenzhen Minghui,MAT_0385,17749,17749,0.03,516.62,2025-05-13,2025-05-13,0,3
PO-00596,2025-04-07,Zecchetto Accessori,MAT_0028,1058,1058,0.89,940.66,2025-04-14,2025-04-14,0,3
PO-01213,2025-04-07,Zecchetto Accessori,MAT_0028,885,885,0.9,793.13,2025-04-14,2025-04-14,0,5
PO-01832,2025-04-07,Covestro AG,MAT_0246,126,126,10.9,1373.19,2025-04-20,2025-04-20,0,5
PO-00173,2025-04-07,Toray Composite,MAT_0159,429,429,50.22,21542.71,2025-05-23,2025-05-29,6,4
PO-00502,2025-04-07,Crocs Inc (supplied),MAT_0208,637,637,10.17,6477.53,2025-05-11,2025-05-11,0,5
PO-00207,2025-04-07,Henkel AG,MAT_0152,208,208,14.68,3053.47,2025-04-19,2025-04-19,0,3
PO-01273,2025-04-07,Gomma Padana,MAT_0194,1202,1202,12.18,14636.54,2025-04-20,2025-04-30,10,4
PO-01018,2025-04-07,American & Efird,MAT_0420,753,753,6.77,5097.18,2025-05-14,2025-05-14,0,4
PO-01042,2025-04-07,Karteks Banja Luka,MAT_0367,1084,1084,0.57,622.23,2025-04-10,2025-04-10,0,4
PO-01702,2025-04-07,Global Trim,MAT_0176,4261,4261,0.12,524.87,2025-05-12,2025-05-12,0,5
PO-01409,2025-04-08,Global Trim,MAT_0066,11850,11850,0.12,1404.49,2025-05-13,2025-05-13,0,5
PO-00348,2025-04-08,American & Efird,MAT_0021,392,392,6.9,2703.58,2025-05-18,2025-05-18,0,4
PO-00915,2025-04-08,American & Efird,MAT_0155,1356,1356,6.93,9400.67,2025-05-14,2025-05-14,0,3
PO-00846,2025-04-08,Zecchetto Accessori,MAT_0056,1993,1993,0.95,1896.25,2025-04-16,2025-04-16,0,4
PO-01968,2025-04-08,American & Efird,MAT_0290,1223,1223,5.78,7063.09,2025-05-10,2025-05-10,0,4
PO-00720,2025-04-09,Zhejiang Paper,MAT_0268,8562,8562,0.09,764.96,2025-05-14,2025-05-14,0,4
PO-00402,2025-04-09,Global Trim,MAT_0176,3334,3334,0.12,401.89,2025-05-14,2025-05-14,0,4
PO-01503,2025-04-09,Henkel AG,MAT_0088,273,273,19.99,5456.61,2025-04-22,2025-04-22,0,1
PO-00093,2025-04-09,Coats Group,MAT_0125,872,872,5.51,4803.0,2025-04-23,2025-04-23,0,2
PO-00873,2025-04-09,Zhejiang Paper,MAT_0172,6968,6968,0.09,615.12,2025-05-10,2025-05-15,5,4
PO-00158,2025-04-09,Coats Group,MAT_0038,1829,1829,5.08,9295.31,2025-04-30,2025-04-30,0,4
PO-01170,2025-04-09,Texon International,MAT_0446,1779,1779,2.82,5025.24,2025-04-21,2025-04-21,0,2
PO-00127,2025-04-10,Covestro AG,MAT_0007,1020,1020,9.12,9297.38,2025-04-23,2025-04-24,1,5
PO-00547,2025-04-10,Zhejiang Paper,MAT_0201,8233,8233,0.1,809.53,2025-05-16,2025-05-20,4,5
PO-00302,2025-04-10,Foam Italia,MAT_0054,1213,1213,4.47,5422.69,2025-04-22,2025-04-22,0,4
PO-00367,2025-04-10,Shenzhen Minghui,MAT_0148,5869,5869,0.03,176.91,2025-05-11,2025-05-11,0,4
PO-01210,2025-04-10,Zhejiang Paper,MAT_0083,7230,7230,0.07,499.81,2025-05-24,2025-05-24,0,4
PO-01444,2025-04-10,Coats Group,MAT_0022,1244,1244,5.81,7230.21,2025-04-24,2025-04-25,1,4
PO-01692,2025-04-11,Global Trim,MAT_0171,4374,4374,0.12,519.53,2025-05-15,2025-05-18,3,5
PO-00106,2025-04-11,Global Trim,MAT_0331,15399,15399,0.12,1833.03,2025-05-15,2025-05-15,0,2
