material_id,material_name,category,supplier,country_origin,current_stock,reorder_point,lead_time_days,unit_price_eur,last_order_date,consumption_rate_daily,hs_code
MAT_0111,Round Laces 110cm Slate,Accessories,Zecchetto Accessori,IT,398,263,13,1.03,2026-01-14,109,560790
MAT_0112,Metal Eyelets 8mm Nickel Grey,Accessories,Global Trim,CN,2241,2900,36,0.14,2026-02-27,433,830890
MAT_0113,Rubber Sole Sheet EVA-RB M,Sole,Gomma Padana,IT,214,205,15,11.85,2026-01-19,73,400599
MAT_0114,Flyknit Yarn 2.0 Black v3,Yarn,Toray Industries,JP,1145,673,49,20.28,2025-12-02,73,540233
MAT_0115,Flyknit Yarn 2.0 Blue Ultra,Yarn,Toray Industries,JP,1235,510,50,21.69,2026-01-03,55,540233
MAT_0116,Heel Counter Moulded Ultra,Components,Texon International,GB,474,304,19,2.49,2026-01-19,86,640610
MAT_0117,EVA Foam Sheet 6mm Narrow,Foam,Foam Italia,IT,288,256,18,3.61,2025-12-23,76,391590
MAT_0118,Flyknit Yarn 2.0 White HD,Yarn,Toray Industries,JP,2578,1051,53,18.59,2026-01-17,106,540233
MAT_0119,Polyester Mesh 150D v2,Textile,Far Eastern Textile,TW,1850,888,46,2.81,2026-02-04,103,600632
MAT_0120,Round Laces 110cm HD,Accessories,Zecchetto Accessori,IT,240,382,18,0.78,2026-02-23,114,560790
MAT_0121,Round Laces 110cm Wide,Accessories,Zecchetto Accessori,IT,1054,540,15,1.01,2026-01-23,194,560790
MAT_0122,Croslite Pellets Batch v2,Components,Crocs Inc (supplied),US,109,268,28,7.92,2025-12-13,51,391400
MAT_0123,Shoe Box 330x230 White v3,Packaging,Karteks Banja Luka,BA,390,171,4,0.62,2026-01-04,231,481910
MAT_0124,Nylon Bonded Thread T-70 M,Thread,American & Efird,US,215,210,37,7.47,2025-12-14,30,540249
MAT_0125,Polyester Core Thread T-60 Lite,Thread,Coats Group,GB,123,156,14,5.49,2025-12-29,60,540710
MAT_0126,Flyknit Yarn 2.0 Volt L,Yarn,Toray Industries,JP,537,526,46,20.92,2025-12-01,61,540233
MAT_0127,Heel Counter Moulded Lite,Components,Texon International,GB,411,220,11,2.94,2025-12-24,107,640610
MAT_0128,Shoe Box 310x210 Kraft L,Packaging,Karteks Banja Luka,BA,193,166,3,0.7,2026-02-16,298,481910
MAT_0129,Flyknit Yarn 2.0 Volt Sand,Yarn,Toray Industries,JP,531,307,39,16.27,2025-12-11,42,540233
MAT_0130,Rubber Sole Sheet EVA-RB Eco,Sole,Gomma Padana,IT,152,153,13,16.36,2026-01-10,63,400599
MAT_0131,Rubber Sole Sheet EVA-RB L,Sole,Gomma Padana,IT,182,121,9,13.3,2025-12-02,72,400599
MAT_0132,Thermoplastic Stiffener 1.2mm XL,Components,Texon International,GB,170,158,20,3.78,2026-02-06,42,392190
MAT_0133,TPU Film Clear 0.3mm Sand,Film,Covestro AG,DE,237,115,14,8.54,2026-01-06,44,392062
MAT_0134,Flyknit Yarn 2.0 Red Ultra,Yarn,Toray Industries,JP,1331,580,55,20.42,2026-02-04,56,540233
MAT_0135,Heel Counter Moulded v3,Components,Texon International,GB,235,98,15,2.93,2025-12-31,35,640610
MAT_0136,PU Adhesive PU-400 S,Adhesive,Henkel AG,DE,23,26,9,18.97,2026-02-24,15,350691
MAT_0137,Hot Melt HM-200 XL,Adhesive,Henkel AG,DE,37,31,14,21.11,2026-02-18,12,350691
MAT_0138,Heel Counter Moulded Narrow,Components,Texon International,GB,211,172,18,2.58,2026-02-07,51,640610
MAT_0139,Polyester Mesh 300D Coral,Textile,Far Eastern Textile,TW,1059,742,48,3.23,2026-02-25,83,600632
MAT_0140,Rubber Sole Sheet CR Lite,Sole,Gomma Padana,IT,191,178,13,14.04,2026-02-04,73,400599
MAT_0141,Flat Laces 120cm Wide,Accessories,Zecchetto Accessori,IT,99,199,9,0.79,2025-12-07,119,560790
MAT_0142,Flat Laces 120cm Ultra,Accessories,Zecchetto Accessori,IT,131,190,15,0.77,2026-02-26,68,560790
MAT_0143,Round Laces 110cm Grey,Accessories,Zecchetto Accessori,IT,148,87,8,0.82,2026-02-18,59,560790
MAT_0144,Flat Laces 120cm Navy,Accessories,Zecchetto Accessori,IT,210,513,13,0.9,2026-02-03,212,560790
MAT_0145,Flyknit Yarn 2.0 Red Pro,Yarn,Toray Industries,JP,522,559,55,17.05,2025-12-13,54,540233
MAT_0146,Polyester Mesh 150D XL,Textile,Far Eastern Textile,TW,1293,1116,39,3.4,2025-12-24,154,600632
MAT_0147,Croslite Pellets Batch M,Components,Crocs Inc (supplied),US,344,271,29,9.6,2026-02-08,50,391400
MAT_0148,Silica Gel 3g Sachet Wide,Packaging,Shenzhen Minghui,CN,1549,3522,31,0.03,2025-12-27,611,381700
MAT_0149,EVA Foam Sheet 12mm HD,Foam,Foam Italia,IT,648,286,16,5.6,2026-01-30,96,391590
MAT_0150,EVA Foam Sheet 12mm v3,Foam,Foam Italia,IT,104,137,8,4.59,2025-12-19,92,391590
MAT_0151,Metal Eyelets 8mm Nickel Sage,Accessories,Global Trim,CN,1808,1111,38,0.1,2025-12-01,157,830890
MAT_0152,PU Adhesive PU-400 v3,Adhesive,Henkel AG,DE,49,30,12,15.13,2026-02-16,13,350691
MAT_0153,Polyester Mesh 300D Pro,Textile,Far Eastern Textile,TW,177,200,31,4.34,2026-01-05,34,600632
MAT_0154,Flyknit Yarn 2.0 Red Narrow,Yarn,Toray Industries,JP,401,326,40,20.0,2025-12-23,43,540233
MAT_0155,Nylon Bonded Thread T-70 HD,Thread,American & Efird,US,419,328,36,6.81,2025-12-02,49,540249
MAT_0156,Round Laces 110cm Ultra,Accessories,Zecchetto Accessori,IT,224,179,7,1.02,2025-12-06,138,560790
MAT_0157,Flyknit Yarn 2.0 Volt Narrow,Yarn,Toray Industries,JP,1083,448,44,18.78,2026-02-14,54,540233
MAT_0158,Polyester Mesh 150D Moss,Textile,Far Eastern Textile,TW,777,920,34,3.68,2026-01-28,145,600632
MAT_0159,Carbon Fiber Plate 1.0mm Lite,Composite,Toray Composite,JP,260,163,46,49.93,2025-12-20,19,681510
MAT_0160,Round Laces 110cm Narrow,Accessories,Zecchetto Accessori,IT,178,91,7,1.02,2026-02-09,70,560790
MAT_0161,Hot Melt HM-200 M,Adhesive,Henkel AG,DE,208,92,15,21.6,2026-01-03,33,350691
MAT_0162,Carbon Fiber Plate 1.0mm Eco,Composite,Toray Composite,JP,217,131,43,47.84,2026-01-22,16,681510
MAT_0163,Shoe Box 310x210 Kraft XL,Packaging,Karteks Banja Luka,BA,174,142,3,0.55,2025-12-21,255,481910
MAT_0164,EVA Foam Sheet 8mm S,Foam,Foam Italia,IT,85,94,7,4.58,2025-12-05,72,391590
MAT_0165,TPU Film Clear 0.3mm Teal,Film,Covestro AG,DE,60,73,13,10.43,2025-12-03,30,392062
MAT_0166,TPU Film Clear 0.3mm Lite,Film,Covestro AG,DE,60,43,8,9.13,2026-02-23,29,392062
MAT_0167,Flyknit Yarn 2.0 Volt M,Yarn,Toray Industries,JP,198,213,48,19.45,2026-02-15,23,540233
MAT_0168,Polyester Mesh 300D Plum,Textile,Far Eastern Textile,TW,1788,726,32,4.4,2025-12-02,122,600632
MAT_0169,Rubber Sole Sheet EVA-RB XL,Sole,Gomma Padana,IT,74,48,7,12.4,2026-01-21,37,400599
MAT_0170,Thermoplastic Stiffener 1.2mm Eco,Components,Texon International,GB,86,117,16,3.18,2026-02-18,39,392190
MAT_0171,Metal Eyelets 8mm Nickel Wide,Accessories,Global Trim,CN,4185,2097,34,0.12,2026-02-25,332,830890
MAT_0172,Tissue Paper White 50x75 L,Packaging,Zhejiang Paper,CN,1717,1797,31,0.09,2026-02-12,312,480300
MAT_0173,Flyknit Yarn 2.0 Red v3,Yarn,Toray Industries,JP,516,273,38,18.7,2026-02-06,38,540233
MAT_0174,Flyknit Yarn 2.0 Blue L,Yarn,Toray Industries,JP,170,231,41,19.27,2026-02-06,30,540233
MAT_0175,Flyknit Yarn 2.0 White S,Yarn,Toray Industries,JP,969,678,53,20.42,2026-01-18,68,540233
MAT_0176,Metal Eyelets 8mm Nickel Lite,Accessories,Global Trim,CN,3263,1360,35,0.12,2026-02-16,209,830890
MAT_0177,Flyknit Yarn 2.0 Volt HD,Yarn,Toray Industries,JP,408,489,55,17.24,2026-02-13,47,540233
MAT_0178,Polyester Mesh 150D S,Textile,Far Eastern Textile,TW,1365,814,30,2.85,2026-01-30,146,600632
MAT_0179,PU Adhesive PU-400 Lite,Adhesive,Henkel AG,DE,137,70,8,14.65,2025-12-17,47,350691
MAT_0180,Carbon Fiber Plate 1.0mm HD,Composite,Toray Composite,JP,42,85,38,52.75,2025-12-07,12,681510
MAT_0181,Rubber Sole Sheet EVA-RB Wide,Sole,Gomma Padana,IT,138,164,14,14.74,2025-12-19,63,400599
MAT_0182,TPU Film Matte 0.3mm XL,Film,Covestro AG,DE,62,25,10,10.09,2026-02-03,13,392062
MAT_0183,Polyester Mesh 300D S,Textile,Far Eastern Textile,TW,571,331,39,3.84,2026-02-14,45,600632
MAT_0184,Round Laces 110cm Eco,Accessories,Zecchetto Accessori,IT,396,239,10,0.99,2025-12-31,128,560790
MAT_0185,Flyknit Yarn 2.0 Volt Pro,Yarn,Toray Industries,JP,503,276,54,18.43,2025-12-02,27,540233
MAT_0186,Flyknit Yarn 2.0 Red v2,Yarn,Toray Industries,JP,1397,563,50,18.94,2025-12-23,60,540233
MAT_0187,Silica Gel 3g Sachet M,Packaging,Shenzhen Minghui,CN,5976,4794,41,0.04,2025-12-24,629,381700
MAT_0188,Flyknit Yarn 2.0 Blue v3,Yarn,Toray Industries,JP,769,601,50,19.12,2026-02-11,64,540233
MAT_0189,Silica Gel 3g Sachet Eco,Packaging,Shenzhen Minghui,CN,2604,4395,34,0.03,2026-02-16,696,381700
MAT_0190,Rubber Sole Sheet CR S,Sole,Gomma Padana,IT,61,57,14,13.53,2025-12-18,22,400599
MAT_0191,TPU Film Clear 0.3mm Plum,Film,Covestro AG,DE,53,79,15,10.36,2025-12-30,28,392062
MAT_0192,Flyknit Yarn 2.0 Blue Plum,Yarn,Toray Industries,JP,834,361,37,17.66,2025-12-24,52,540233
MAT_0193,NFC Tag NTAG213 Wide,Accessories,NXP Semiconductors,NL,808,472,16,0.48,2026-02-22,158,852352
MAT_0194,Rubber Sole Sheet CR Narrow,Sole,Gomma Padana,IT,190,154,13,12.37,2026-02-25,64,400599
MAT_0195,Polyester Core Thread T-60 Narrow,Thread,Coats Group,GB,434,198,17,5.83,2026-01-29,62,540710
MAT_0196,Rubber Sole Sheet CR XL,Sole,Gomma Padana,IT,164,180,16,12.77,2026-01-29,60,400599
MAT_0197,Round Laces 110cm Rust,Accessories,Zecchetto Accessori,IT,1166,583,18,1.07,2025-12-21,174,560790
MAT_0198,EVA Foam Sheet 8mm Pro,Foam,Foam Italia,IT,236,235,12,3.92,2026-01-31,105,391590
MAT_0199,Polyester Mesh 150D Pro,Textile,Far Eastern Textile,TW,1136,515,43,3.18,2025-12-17,64,600632
MAT_0200,Flyknit Yarn 2.0 Black Sand,Yarn,Toray Industries,JP,1314,649,39,20.89,2026-02-15,89,540233
MAT_0201,Tissue Paper White 50x75 S,Packaging,Zhejiang Paper,CN,1830,2531,36,0.1,2026-02-25,378,480300
MAT_0202,PU Adhesive PU-400 Pro,Adhesive,Henkel AG,DE,72,105,12,18.82,2026-02-21,47,350691
MAT_0203,Shoe Box 310x210 Kraft M,Packaging,Karteks Banja Luka,BA,126,199,3,0.7,2025-12-26,358,481910
MAT_0204,Croslite Pellets Batch v3,Components,Crocs Inc (supplied),US,456,248,28,8.48,2026-01-14,47,391400
MAT_0205,Heel Counter Moulded v2,Components,Texon International,GB,160,268,21,3.36,2025-12-29,68,640610
MAT_0206,Rubber Sole Sheet CR M,Sole,Gomma Padana,IT,97,54,12,12.48,2025-12-22,24,400599
MAT_0207,Nylon Bonded Thread T-70 Narrow,Thread,American & Efird,US,408,207,38,6.47,2025-12-26,29,540249
MAT_0208,Croslite Pellets Batch L,Components,Crocs Inc (supplied),US,97,162,34,9.88,2025-12-11,25,391400
MAT_0209,NFC Tag NTAG213 Navy,Accessories,NXP Semiconductors,NL,269,133,8,0.39,2026-01-20,90,852352
MAT_0210,Rubber Sole Sheet EVA-RB S,Sole,Gomma Padana,IT,153,100,8,15.89,2026-01-18,67,400599
MAT_0211,Croslite Pellets Batch S,Components,Crocs Inc (supplied),US,722,365,34,8.4,2026-02-05,57,391400
MAT_0212,Thermoplastic Stiffener 1.2mm L,Components,Texon International,GB,231,117,17,3.43,2026-02-09,37,392190
MAT_0213,Flyknit Yarn 2.0 Volt v3,Yarn,Toray Industries,JP,1034,417,36,17.32,2026-01-23,62,540233
MAT_0214,Flyknit Yarn 2.0 Red Sage,Yarn,Toray Industries,JP,716,320,48,18.93,2025-12-05,35,540233
MAT_0215,TPU Film Matte 0.3mm Pro,Film,Covestro AG,DE,87,56,7,8.94,2026-01-08,43,392062
MAT_0216,Carbon Fiber Plate 1.0mm L,Composite,Toray Composite,JP,103,62,49,38.67,2026-01-25,6,681510
MAT_0217,Polyester Mesh 300D v3,Textile,Far Eastern Textile,TW,894,740,45,4.33,2025-12-22,88,600632
MAT_0218,Polyester Mesh 300D Teal,Textile,Far Eastern Textile,TW,381,709,43,3.65,2025-12-29,88,600632
MAT_0219,TPU Film Matte 0.3mm Ultra,Film,Covestro AG,DE,73,53,14,10.12,2025-12-10,20,392062
MAT_0220,Shoe Box 330x230 White v2,Packaging,Karteks Banja Luka,BA,294,161,3,0.67,2026-02-10,289,481910
MAT_0221,Flyknit Yarn 2.0 Black Cream,Yarn,Toray Industries,JP,305,397,37,17.07,2026-02-21,57,540233
MAT_0222,EVA Foam Sheet 12mm Ultra,Foam,Foam Italia,IT,119,104,9,4.91,2026-02-23,62,391590
MAT_0223,Rubber Sole Sheet EVA-RB Narrow,Sole,Gomma Padana,IT,435,185,14,12.72,2025-12-27,71,400599
MAT_0224,Flyknit Yarn 2.0 Volt S,Yarn,Toray Industries,JP,897,410,43,16.92,2026-02-17,51,540233
MAT_0225,Shoe Box 330x230 White S,Packaging,Karteks Banja Luka,BA,191,389,5,0.74,2026-02-09,418,481910
